Date,Open,High,Low,Close
01/09/2026,"2.830%","2.883%","2.830%","2.867%"
01/08/2026,"2.814%","2.849%","2.808%","2.830%"
01/07/2026,"2.845%","2.845%","2.795%","2.814%"
01/06/2026,"2.874%","2.898%","2.836%","2.845%"
01/05/2026,"2.903%","2.910%","2.871%","2.874%"
01/02/2026,"2.860%","2.908%","2.847%","2.903%"
12/31/2025,"2.860%","2.860%","2.860%","2.860%"
12/30/2025,"2.834%","2.868%","2.834%","2.860%"
12/29/2025,"2.865%","2.870%","2.828%","2.834%"
12/25/2025,"2.865%","2.865%","2.865%","2.865%"
12/24/2025,"2.865%","2.865%","2.865%","2.865%"
12/23/2025,"2.900%","2.905%","2.863%","2.865%"
12/22/2025,"2.900%","2.918%","2.893%","2.900%"
12/19/2025,"2.852%","2.904%","2.847%","2.900%"
12/18/2025,"2.870%","2.903%","2.844%","2.852%"
12/17/2025,"2.847%","2.875%","2.829%","2.870%"
12/16/2025,"2.856%","2.876%","2.840%","2.847%"
12/15/2025,"2.862%","2.863%","2.836%","2.856%"
12/12/2025,"2.847%","2.876%","2.847%","2.862%"
12/11/2025,"2.855%","2.872%","2.839%","2.847%"
12/10/2025,"2.857%","2.902%","2.853%","2.855%"
12/09/2025,"2.862%","2.885%","2.841%","2.857%"
12/08/2025,"2.802%","2.881%","2.802%","2.862%"
12/05/2025,"2.777%","2.804%","2.773%","2.802%"
12/04/2025,"2.750%","2.779%","2.750%","2.777%"
12/03/2025,"2.755%","2.760%","2.738%","2.750%"
12/02/2025,"2.756%","2.773%","2.748%","2.755%"
12/01/2025,"2.692%","2.762%","2.692%","2.756%"
11/28/2025,"2.685%","2.703%","2.674%","2.692%"
11/27/2025,"2.674%","2.694%","2.668%","2.685%"
11/26/2025,"2.679%","2.695%","2.661%","2.674%"
11/25/2025,"2.695%","2.707%","2.667%","2.679%"
11/24/2025,"2.707%","2.712%","2.682%","2.695%"
11/21/2025,"2.725%","2.725%","2.671%","2.707%"
11/20/2025,"2.717%","2.744%","2.717%","2.725%"
11/19/2025,"2.707%","2.722%","2.686%","2.717%"
11/18/2025,"2.716%","2.716%","2.685%","2.707%"
11/17/2025,"2.723%","2.727%","2.703%","2.716%"
11/14/2025,"2.692%","2.724%","2.684%","2.723%"
11/13/2025,"2.647%","2.695%","2.642%","2.692%"
11/12/2025,"2.663%","2.686%","2.644%","2.647%"
11/11/2025,"2.669%","2.679%","2.654%","2.663%"
11/10/2025,"2.672%","2.702%","2.660%","2.669%"
11/07/2025,"2.654%","2.685%","2.654%","2.672%"
11/06/2025,"2.677%","2.678%","2.650%","2.654%"
11/05/2025,"2.656%","2.680%","2.643%","2.677%"
11/04/2025,"2.669%","2.678%","2.642%","2.656%"
11/03/2025,"2.634%","2.670%","2.634%","2.669%"
10/31/2025,"2.648%","2.666%","2.632%","2.634%"
10/30/2025,"2.625%","2.666%","2.625%","2.648%"
10/29/2025,"2.627%","2.635%","2.618%","2.625%"
10/28/2025,"2.619%","2.635%","2.607%","2.627%"
10/27/2025,"2.628%","2.653%","2.617%","2.619%"
10/24/2025,"2.588%","2.637%","2.575%","2.628%"
10/23/2025,"2.568%","2.589%","2.568%","2.588%"
10/22/2025,"2.559%","2.575%","2.541%","2.568%"
10/21/2025,"2.580%","2.585%","2.554%","2.559%"
10/20/2025,"2.585%","2.605%","2.578%","2.580%"
10/17/2025,"2.575%","2.592%","2.528%","2.585%"
10/16/2025,"2.575%","2.592%","2.566%","2.575%"
10/15/2025,"2.612%","2.612%","2.558%","2.575%"
10/14/2025,"2.637%","2.638%","2.583%","2.612%"
10/13/2025,"2.646%","2.661%","2.625%","2.637%"
10/10/2025,"2.702%","2.702%","2.636%","2.646%"
10/09/2025,"2.682%","2.709%","2.677%","2.702%"
10/08/2025,"2.712%","2.715%","2.668%","2.682%"
10/07/2025,"2.723%","2.752%","2.709%","2.712%"
10/06/2025,"2.702%","2.740%","2.702%","2.723%"
10/03/2025,"2.704%","2.712%","2.689%","2.702%"
10/02/2025,"2.718%","2.735%","2.696%","2.704%"
10/01/2025,"2.716%","2.749%","2.698%","2.718%"
09/30/2025,"2.712%","2.731%","2.695%","2.716%"
09/29/2025,"2.754%","2.754%","2.709%","2.712%"
09/26/2025,"2.775%","2.785%","2.731%","2.754%"
09/25/2025,"2.754%","2.784%","2.737%","2.775%"
09/24/2025,"2.755%","2.760%","2.734%","2.754%"
09/23/2025,"2.752%","2.762%","2.736%","2.755%"
09/22/2025,"2.751%","2.766%","2.732%","2.752%"
09/19/2025,"2.725%","2.756%","2.725%","2.751%"
09/18/2025,"2.674%","2.730%","2.672%","2.725%"
09/17/2025,"2.695%","2.700%","2.665%","2.674%"
09/16/2025,"2.694%","2.723%","2.682%","2.695%"
09/15/2025,"2.716%","2.717%","2.692%","2.694%"
09/12/2025,"2.660%","2.722%","2.657%","2.716%"
09/11/2025,"2.657%","2.699%","2.639%","2.660%"
09/10/2025,"2.660%","2.676%","2.633%","2.657%"
09/09/2025,"2.646%","2.678%","2.646%","2.660%"
09/08/2025,"2.670%","2.677%","2.640%","2.646%"
09/05/2025,"2.722%","2.725%","2.654%","2.670%"
09/04/2025,"2.743%","2.743%","2.703%","2.722%"
09/03/2025,"2.791%","2.796%","2.742%","2.743%"
09/02/2025,"2.751%","2.798%","2.748%","2.791%"
09/01/2025,"2.727%","2.763%","2.727%","2.751%"
08/29/2025,"2.698%","2.728%","2.698%","2.727%"
08/28/2025,"2.702%","2.717%","2.686%","2.698%"
08/27/2025,"2.730%","2.735%","2.692%","2.702%"
08/26/2025,"2.764%","2.764%","2.720%","2.730%"
08/25/2025,"2.727%","2.782%","2.727%","2.764%"
08/22/2025,"2.759%","2.765%","2.719%","2.727%"
08/21/2025,"2.719%","2.765%","2.712%","2.759%"
08/20/2025,"2.755%","2.757%","2.715%","2.719%"
08/19/2025,"2.767%","2.783%","2.751%","2.755%"
08/18/2025,"2.790%","2.790%","2.748%","2.767%"
08/15/2025,"2.715%","2.792%","2.704%","2.790%"
08/14/2025,"2.683%","2.716%","2.657%","2.715%"
08/13/2025,"2.747%","2.748%","2.678%","2.683%"
08/12/2025,"2.700%","2.758%","2.695%","2.747%"
08/11/2025,"2.690%","2.703%","2.666%","2.700%"
08/08/2025,"2.633%","2.694%","2.633%","2.690%"
08/07/2025,"2.650%","2.666%","2.629%","2.633%"
08/06/2025,"2.634%","2.672%","2.624%","2.650%"
08/05/2025,"2.628%","2.650%","2.609%","2.634%"
08/04/2025,"2.680%","2.706%","2.627%","2.628%"
08/01/2025,"2.696%","2.740%","2.649%","2.680%"
07/31/2025,"2.709%","2.709%","2.682%","2.696%"
07/30/2025,"2.712%","2.717%","2.679%","2.709%"
07/29/2025,"2.693%","2.716%","2.690%","2.712%"
07/28/2025,"2.722%","2.723%","2.685%","2.693%"
07/25/2025,"2.705%","2.770%","2.705%","2.722%"
07/24/2025,"2.639%","2.716%","2.639%","2.705%"
07/23/2025,"2.592%","2.641%","2.592%","2.639%"
07/22/2025,"2.619%","2.635%","2.587%","2.592%"
07/21/2025,"2.698%","2.698%","2.615%","2.619%"
07/18/2025,"2.680%","2.705%","2.680%","2.698%"
07/17/2025,"2.694%","2.716%","2.669%","2.680%"
07/16/2025,"2.710%","2.729%","2.684%","2.694%"
07/15/2025,"2.732%","2.732%","2.676%","2.710%"
07/14/2025,"2.725%","2.739%","2.716%","2.732%"
07/11/2025,"2.705%","2.734%","2.682%","2.725%"
07/10/2025,"2.676%","2.710%","2.654%","2.705%"
07/09/2025,"2.692%","2.692%","2.664%","2.676%"
07/08/2025,"2.645%","2.712%","2.645%","2.692%"
07/07/2025,"2.607%","2.647%","2.593%","2.645%"
07/04/2025,"2.578%","2.610%","2.578%","2.607%"
07/03/2025,"2.627%","2.627%","2.575%","2.578%"
07/02/2025,"2.575%","2.638%","2.575%","2.627%"
07/01/2025,"2.608%","2.608%","2.544%","2.575%"
06/30/2025,"2.592%","2.614%","2.566%","2.608%"
06/27/2025,"2.571%","2.609%","2.563%","2.592%"
06/26/2025,"2.572%","2.576%","2.536%","2.571%"
06/25/2025,"2.547%","2.586%","2.507%","2.572%"
06/24/2025,"2.510%","2.579%","2.509%","2.547%"
06/23/2025,"2.520%","2.567%","2.497%","2.510%"
06/20/2025,"2.523%","2.542%","2.487%","2.520%"
06/19/2025,"2.500%","2.543%","2.500%","2.523%"
06/18/2025,"2.537%","2.552%","2.498%","2.500%"
06/17/2025,"2.525%","2.564%","2.504%","2.537%"
06/16/2025,"2.538%","2.594%","2.517%","2.525%"
06/13/2025,"2.484%","2.545%","2.426%","2.538%"
06/12/2025,"2.537%","2.543%","2.470%","2.484%"
06/11/2025,"2.527%","2.560%","2.517%","2.537%"
06/10/2025,"2.570%","2.570%","2.520%","2.527%"
06/09/2025,"2.579%","2.598%","2.516%","2.570%"
06/06/2025,"2.584%","2.589%","2.535%","2.579%"
06/05/2025,"2.528%","2.595%","2.472%","2.584%"
06/04/2025,"2.523%","2.545%","2.508%","2.528%"
06/03/2025,"2.530%","2.531%","2.487%","2.523%"
06/02/2025,"2.505%","2.565%","2.502%","2.530%"
05/30/2025,"2.510%","2.544%","2.500%","2.505%"
05/29/2025,"2.555%","2.597%","2.509%","2.510%"
05/28/2025,"2.540%","2.563%","2.528%","2.555%"
05/27/2025,"2.562%","2.562%","2.515%","2.540%"
05/26/2025,"2.572%","2.613%","2.561%","2.562%"
05/23/2025,"2.646%","2.646%","2.540%","2.572%"
05/22/2025,"2.654%","2.672%","2.637%","2.646%"
05/21/2025,"2.607%","2.674%","2.607%","2.654%"
05/20/2025,"2.593%","2.631%","2.558%","2.607%"
05/19/2025,"2.587%","2.657%","2.576%","2.593%"
05/16/2025,"2.622%","2.622%","2.566%","2.587%"
05/15/2025,"2.700%","2.704%","2.621%","2.622%"
05/14/2025,"2.682%","2.705%","2.660%","2.700%"
05/13/2025,"2.653%","2.683%","2.653%","2.682%"
05/12/2025,"2.561%","2.656%","2.561%","2.653%"
05/09/2025,"2.542%","2.594%","2.542%","2.561%"
05/08/2025,"2.476%","2.542%","2.473%","2.542%"
05/07/2025,"2.544%","2.551%","2.474%","2.476%"
05/06/2025,"2.518%","2.566%","2.518%","2.544%"
05/05/2025,"2.539%","2.539%","2.503%","2.518%"
05/02/2025,"2.485%","2.543%","2.461%","2.539%"
04/30/2025,"2.499%","2.500%","2.443%","2.447%"
04/29/2025,"2.529%","2.529%","2.487%","2.499%"
04/28/2025,"2.473%","2.530%","2.472%","2.529%"
04/25/2025,"2.453%","2.484%","2.444%","2.473%"
04/24/2025,"2.504%","2.505%","2.445%","2.453%"
04/23/2025,"2.447%","2.522%","2.447%","2.504%"
04/22/2025,"2.473%","2.483%","2.438%","2.447%"
04/20/2025,"2.473%","2.473%","2.473%","2.473%"
04/17/2025,"2.514%","2.544%","2.455%","2.473%"
04/16/2025,"2.536%","2.547%","2.484%","2.514%"
04/15/2025,"2.511%","2.555%","2.494%","2.536%"
04/14/2025,"2.574%","2.592%","2.510%","2.511%"
04/11/2025,"2.583%","2.636%","2.492%","2.574%"
04/10/2025,"2.590%","2.722%","2.570%","2.583%"
04/09/2025,"2.626%","2.694%","2.558%","2.590%"
04/08/2025,"2.611%","2.687%","2.578%","2.626%"
04/07/2025,"2.579%","2.718%","2.430%","2.611%"
04/04/2025,"2.655%","2.655%","2.480%","2.579%"
04/03/2025,"2.722%","2.722%","2.627%","2.655%"
04/02/2025,"2.696%","2.731%","2.656%","2.722%"
04/01/2025,"2.748%","2.748%","2.659%","2.696%"
03/31/2025,"2.734%","2.752%","2.662%","2.748%"
03/28/2025,"2.778%","2.778%","2.710%","2.734%"
03/27/2025,"2.800%","2.800%","2.747%","2.778%"
03/26/2025,"2.801%","2.816%","2.779%","2.800%"
03/25/2025,"2.775%","2.835%","2.775%","2.801%"
03/24/2025,"2.768%","2.804%","2.761%","2.775%"
03/21/2025,"2.786%","2.786%","2.750%","2.768%"
03/20/2025,"2.807%","2.807%","2.751%","2.786%"
03/19/2025,"2.813%","2.819%","2.747%","2.807%"
03/18/2025,"2.826%","2.865%","2.809%","2.813%"
03/17/2025,"2.879%","2.896%","2.804%","2.826%"
03/14/2025,"2.853%","2.943%","2.849%","2.879%"
03/13/2025,"2.882%","2.922%","2.844%","2.853%"
03/12/2025,"2.896%","2.945%","2.880%","2.882%"
03/11/2025,"2.837%","2.914%","2.836%","2.896%"
03/10/2025,"2.843%","2.862%","2.768%","2.837%"
03/07/2025,"2.837%","2.852%","2.774%","2.843%"
03/06/2025,"2.791%","2.921%","2.776%","2.837%"
03/05/2025,"2.494%","2.795%","2.494%","2.791%"
03/04/2025,"2.493%","2.507%","2.433%","2.494%"
03/03/2025,"2.411%","2.521%","2.411%","2.493%"
02/28/2025,"2.420%","2.420%","2.372%","2.411%"
02/27/2025,"2.436%","2.456%","2.413%","2.420%"
02/26/2025,"2.461%","2.474%","2.427%","2.436%"
02/25/2025,"2.480%","2.496%","2.452%","2.461%"
02/24/2025,"2.474%","2.500%","2.459%","2.480%"
02/21/2025,"2.539%","2.539%","2.468%","2.474%"
02/20/2025,"2.560%","2.564%","2.536%","2.539%"
02/19/2025,"2.500%","2.561%","2.500%","2.560%"
02/18/2025,"2.491%","2.521%","2.491%","2.500%"
02/17/2025,"2.433%","2.504%","2.433%","2.491%"
02/14/2025,"2.423%","2.448%","2.417%","2.433%"
02/13/2025,"2.481%","2.483%","2.417%","2.423%"
02/12/2025,"2.433%","2.490%","2.433%","2.481%"
02/11/2025,"2.365%","2.439%","2.365%","2.433%"
02/10/2025,"2.375%","2.388%","2.354%","2.365%"
02/07/2025,"2.380%","2.411%","2.356%","2.375%"
02/06/2025,"2.365%","2.394%","2.361%","2.380%"
02/05/2025,"2.404%","2.404%","2.347%","2.365%"
02/04/2025,"2.391%","2.435%","2.391%","2.404%"
02/03/2025,"2.460%","2.460%","2.368%","2.391%"
01/31/2025,"2.523%","2.543%","2.457%","2.460%"
01/30/2025,"2.583%","2.583%","2.503%","2.523%"
01/29/2025,"2.564%","2.586%","2.532%","2.583%"
01/28/2025,"2.535%","2.567%","2.535%","2.564%"
01/27/2025,"2.577%","2.577%","2.496%","2.535%"
01/24/2025,"2.551%","2.598%","2.529%","2.577%"
01/23/2025,"2.533%","2.563%","2.517%","2.551%"
01/22/2025,"2.513%","2.534%","2.489%","2.533%"
01/21/2025,"2.530%","2.536%","2.499%","2.513%"
01/20/2025,"2.531%","2.550%","2.515%","2.530%"
01/17/2025,"2.548%","2.548%","2.509%","2.531%"
01/16/2025,"2.539%","2.594%","2.539%","2.548%"
01/15/2025,"2.629%","2.629%","2.514%","2.539%"
01/14/2025,"2.594%","2.633%","2.566%","2.629%"
01/13/2025,"2.573%","2.616%","2.573%","2.594%"
01/10/2025,"2.547%","2.608%","2.547%","2.573%"
01/09/2025,"2.522%","2.550%","2.515%","2.547%"
