Date,Open,High,Low,Close
01/09/2026,"3.653%","3.688%","3.627%","3.643%"
01/08/2026,"3.683%","3.711%","3.652%","3.653%"
01/07/2026,"3.697%","3.712%","3.589%","3.683%"
01/06/2026,"3.715%","3.750%","3.654%","3.697%"
01/05/2026,"3.736%","3.742%","3.687%","3.715%"
01/02/2026,"3.706%","3.759%","3.679%","3.736%"
01/01/2026,"3.706%","3.706%","3.706%","3.706%"
12/31/2025,"3.738%","3.738%","3.682%","3.706%"
12/30/2025,"3.723%","3.745%","3.702%","3.738%"
12/29/2025,"3.725%","3.750%","3.694%","3.723%"
12/26/2025,"3.725%","3.725%","3.725%","3.725%"
12/25/2025,"3.725%","3.725%","3.725%","3.725%"
12/24/2025,"3.737%","3.764%","3.699%","3.725%"
12/23/2025,"3.744%","3.772%","3.704%","3.737%"
12/22/2025,"3.745%","3.780%","3.737%","3.744%"
12/19/2025,"3.738%","3.777%","3.728%","3.745%"
12/18/2025,"3.721%","3.804%","3.674%","3.738%"
12/17/2025,"3.750%","3.757%","3.688%","3.721%"
12/16/2025,"3.756%","3.833%","3.738%","3.750%"
12/15/2025,"3.758%","3.765%","3.705%","3.756%"
12/12/2025,"3.784%","3.804%","3.749%","3.758%"
12/11/2025,"3.786%","3.796%","3.732%","3.784%"
12/10/2025,"3.788%","3.851%","3.757%","3.786%"
12/09/2025,"3.796%","3.831%","3.766%","3.788%"
12/08/2025,"3.800%","3.878%","3.755%","3.796%"
12/05/2025,"3.728%","3.815%","3.712%","3.800%"
12/04/2025,"3.751%","3.770%","3.688%","3.728%"
12/03/2025,"3.727%","3.780%","3.705%","3.751%"
12/02/2025,"3.754%","3.791%","3.723%","3.727%"
12/01/2025,"3.744%","3.799%","3.744%","3.754%"
11/28/2025,"3.759%","3.771%","3.721%","3.744%"
11/27/2025,"3.738%","3.804%","3.738%","3.759%"
11/26/2025,"3.766%","3.850%","3.678%","3.738%"
11/25/2025,"3.771%","3.805%","3.736%","3.766%"
11/24/2025,"3.784%","3.793%","3.753%","3.771%"
11/21/2025,"3.798%","3.798%","3.747%","3.784%"
11/20/2025,"3.827%","3.827%","3.768%","3.798%"
11/19/2025,"3.818%","3.869%","3.737%","3.827%"
11/18/2025,"3.800%","3.826%","3.777%","3.818%"
11/17/2025,"3.859%","3.859%","3.795%","3.800%"
11/14/2025,"3.775%","3.875%","3.775%","3.859%"
11/13/2025,"3.747%","3.784%","3.709%","3.775%"
11/12/2025,"3.735%","3.773%","3.723%","3.747%"
11/11/2025,"3.799%","3.799%","3.700%","3.735%"
11/10/2025,"3.797%","3.833%","3.780%","3.799%"
11/07/2025,"3.763%","3.830%","3.763%","3.797%"
11/06/2025,"3.809%","3.826%","3.745%","3.763%"
11/05/2025,"3.791%","3.822%","3.767%","3.809%"
11/04/2025,"3.805%","3.805%","3.733%","3.791%"
11/03/2025,"3.765%","3.819%","3.756%","3.805%"
10/31/2025,"3.790%","3.809%","3.752%","3.765%"
10/30/2025,"3.764%","3.824%","3.764%","3.790%"
10/29/2025,"3.770%","3.792%","3.755%","3.764%"
10/28/2025,"3.778%","3.793%","3.741%","3.770%"
10/27/2025,"3.800%","3.807%","3.755%","3.778%"
10/24/2025,"3.790%","3.812%","3.732%","3.800%"
10/23/2025,"3.792%","3.808%","3.767%","3.790%"
10/22/2025,"3.841%","3.841%","3.724%","3.792%"
10/21/2025,"3.856%","3.886%","3.825%","3.841%"
10/20/2025,"3.885%","3.904%","3.853%","3.856%"
10/17/2025,"3.862%","3.911%","3.836%","3.885%"
10/16/2025,"3.907%","3.917%","3.854%","3.862%"
10/15/2025,"3.910%","3.910%","3.847%","3.907%"
10/14/2025,"3.958%","3.958%","3.860%","3.910%"
10/13/2025,"3.967%","3.990%","3.927%","3.958%"
10/10/2025,"4.016%","4.021%","3.939%","3.967%"
10/09/2025,"4.003%","4.044%","3.999%","4.016%"
10/08/2025,"3.998%","4.012%","3.981%","4.003%"
10/07/2025,"3.997%","4.019%","3.963%","3.998%"
10/06/2025,"3.980%","4.023%","3.960%","3.997%"
10/03/2025,"4.001%","4.002%","3.935%","3.980%"
10/02/2025,"3.974%","4.034%","3.967%","4.001%"
10/01/2025,"3.993%","4.028%","3.944%","3.974%"
09/30/2025,"3.991%","4.028%","3.985%","3.993%"
09/29/2025,"4.040%","4.040%","3.988%","3.991%"
09/26/2025,"4.034%","4.042%","3.971%","4.040%"
09/25/2025,"3.966%","4.045%","3.956%","4.034%"
09/24/2025,"3.968%","3.993%","3.937%","3.966%"
09/23/2025,"3.993%","3.997%","3.947%","3.968%"
09/22/2025,"3.985%","4.003%","3.960%","3.993%"
09/19/2025,"3.988%","4.002%","3.957%","3.985%"
09/18/2025,"3.967%","4.008%","3.944%","3.988%"
