Date,Open,High,Low,Close
01/09/2026,"2.080%","2.101%","2.075%","2.097%"
01/08/2026,"2.121%","2.121%","2.073%","2.080%"
01/07/2026,"2.130%","2.130%","2.106%","2.121%"
01/06/2026,"2.120%","2.138%","2.100%","2.130%"
01/05/2026,"2.073%","2.133%","2.073%","2.120%"
01/01/2026,"2.073%","2.073%","2.073%","2.073%"
12/31/2025,"2.073%","2.073%","2.073%","2.073%"
12/30/2025,"2.058%","2.083%","2.045%","2.073%"
12/29/2025,"2.041%","2.063%","2.034%","2.058%"
12/26/2025,"2.047%","2.055%","2.037%","2.041%"
12/25/2025,"2.050%","2.058%","2.008%","2.047%"
12/24/2025,"2.040%","2.052%","2.022%","2.050%"
12/23/2025,"2.081%","2.081%","2.028%","2.040%"
12/22/2025,"2.024%","2.102%","2.024%","2.081%"
12/19/2025,"1.966%","2.026%","1.954%","2.024%"
12/18/2025,"1.985%","1.985%","1.964%","1.966%"
12/17/2025,"1.955%","1.987%","1.955%","1.985%"
12/16/2025,"1.959%","1.967%","1.953%","1.955%"
12/15/2025,"1.955%","1.963%","1.941%","1.959%"
12/12/2025,"1.931%","1.955%","1.923%","1.955%"
12/11/2025,"1.963%","1.963%","1.921%","1.931%"
12/10/2025,"1.965%","1.965%","1.951%","1.963%"
12/09/2025,"1.972%","1.972%","1.962%","1.965%"
12/08/2025,"1.952%","1.980%","1.948%","1.972%"
12/05/2025,"1.941%","1.957%","1.932%","1.952%"
12/04/2025,"1.895%","1.946%","1.895%","1.941%"
12/03/2025,"1.862%","1.896%","1.862%","1.895%"
12/02/2025,"1.879%","1.886%","1.859%","1.862%"
12/01/2025,"1.807%","1.880%","1.807%","1.879%"
11/28/2025,"1.802%","1.828%","1.802%","1.807%"
11/27/2025,"1.819%","1.819%","1.797%","1.802%"
11/26/2025,"1.804%","1.829%","1.802%","1.819%"
11/25/2025,"1.788%","1.812%","1.785%","1.804%"
11/23/2025,"1.788%","1.788%","1.788%","1.788%"
11/21/2025,"1.820%","1.820%","1.782%","1.788%"
11/20/2025,"1.772%","1.842%","1.772%","1.820%"
11/19/2025,"1.749%","1.779%","1.749%","1.772%"
11/18/2025,"1.733%","1.758%","1.733%","1.749%"
11/17/2025,"1.702%","1.738%","1.702%","1.733%"
11/14/2025,"1.692%","1.709%","1.692%","1.702%"
11/13/2025,"1.691%","1.703%","1.683%","1.692%"
11/12/2025,"1.696%","1.701%","1.682%","1.691%"
11/11/2025,"1.702%","1.704%","1.691%","1.696%"
11/10/2025,"1.679%","1.710%","1.679%","1.702%"
11/07/2025,"1.684%","1.688%","1.673%","1.679%"
11/06/2025,"1.667%","1.687%","1.667%","1.684%"
11/05/2025,"1.676%","1.680%","1.658%","1.667%"
11/04/2025,"1.659%","1.681%","1.659%","1.676%"
11/02/2025,"1.659%","1.659%","1.659%","1.659%"
10/31/2025,"1.647%","1.669%","1.647%","1.659%"
10/30/2025,"1.654%","1.679%","1.643%","1.647%"
10/29/2025,"1.640%","1.657%","1.640%","1.654%"
10/28/2025,"1.674%","1.674%","1.638%","1.640%"
10/27/2025,"1.659%","1.679%","1.659%","1.674%"
10/24/2025,"1.661%","1.671%","1.650%","1.659%"
10/23/2025,"1.655%","1.670%","1.643%","1.661%"
10/22/2025,"1.663%","1.668%","1.644%","1.655%"
10/21/2025,"1.669%","1.670%","1.655%","1.663%"
10/20/2025,"1.631%","1.676%","1.631%","1.669%"
10/17/2025,"1.657%","1.657%","1.619%","1.631%"
10/16/2025,"1.656%","1.663%","1.649%","1.657%"
10/15/2025,"1.663%","1.675%","1.646%","1.656%"
10/14/2025,"1.696%","1.696%","1.658%","1.663%"
10/12/2025,"1.696%","1.696%","1.696%","1.696%"
10/10/2025,"1.697%","1.705%","1.675%","1.696%"
10/09/2025,"1.704%","1.704%","1.689%","1.697%"
10/08/2025,"1.681%","1.705%","1.681%","1.704%"
10/07/2025,"1.680%","1.699%","1.673%","1.681%"
10/06/2025,"1.665%","1.695%","1.663%","1.680%"
10/03/2025,"1.666%","1.676%","1.658%","1.665%"
10/02/2025,"1.653%","1.667%","1.636%","1.666%"
10/01/2025,"1.651%","1.659%","1.640%","1.653%"
09/30/2025,"1.647%","1.657%","1.626%","1.651%"
09/29/2025,"1.659%","1.659%","1.634%","1.647%"
09/26/2025,"1.649%","1.661%","1.643%","1.659%"
09/25/2025,"1.640%","1.656%","1.640%","1.649%"
09/24/2025,"1.660%","1.660%","1.637%","1.640%"
