Name,Ticker
NEXTERA ENERGY INC,NEE
CONSTELLATION ENERGY,CEG
SOUTHERN CO/THE,SO
DUKE ENERGY CORP,DUK
AMERICAN ELECTRIC POWER,AEP
SEMPRA,SRE
VISTRA CORP,VST
DOMINION ENERGY INC,D
XCEL ENERGY INC,XEL
EXELON CORP,EXC
ENTERGY CORP,ETR
PUBLIC SERVICE ENTERPRISE GP,PEG
CONSOLIDATED EDISON INC,ED
WEC ENERGY GROUP INC,WEC
P G + E CORP,PCG
NRG ENERGY INC,NRG
DTE ENERGY COMPANY,DTE
AMEREN CORPORATION,AEE
ATMOS ENERGY CORP,ATO
PPL CORP,PPL
EVERSOURCE ENERGY,ES
AMERICAN WATER WORKS CO INC,AWK
CENTERPOINT ENERGY INC,CNP
FIRSTENERGY CORP,FE
EDISON INTERNATIONAL,EIX
CMS ENERGY CORP,CMS
NISOURCE INC,NI
EVERGY INC,EVRG
ALLIANT ENERGY CORP,LNT
PINNACLE WEST CAPITAL,PNW
AES CORP,AES
