Name,Ticker
AMAZON.COM INC,AMZN
TESLA INC,TSLA
HOME DEPOT INC,HD
MCDONALD S CORP,MCD
TJX COMPANIES INC,TJX
BOOKING HOLDINGS INC,BKNG
LOWE S COS INC,LOW
STARBUCKS CORP,SBUX
O REILLY AUTOMOTIVE INC,ORLY
DOORDASH INC   A,DASH
NIKE INC  CL B,NKE
GENERAL MOTORS CO,GM
MARRIOTT INTERNATIONAL  CL A,MAR
ROYAL CARIBBEAN CRUISES LTD,RCL
HILTON WORLDWIDE HOLDINGS IN,HLT
CARVANA CO,CVNA
ROSS STORES INC,ROST
AUTOZONE INC,AZO
AIRBNB INC CLASS A,ABNB
FORD MOTOR CO,F
CHIPOTLE MEXICAN GRILL INC,CMG
YUM  BRANDS INC,YUM
DR HORTON INC,DHI
EBAY INC,EBAY
GARMIN LTD,GRMN
EXPEDIA GROUP INC,EXPE
CARNIVAL CORP,CCL
ULTA BEAUTY INC,ULTA
TAPESTRY INC,TPR
TRACTOR SUPPLY COMPANY,TSCO
LENNAR CORP W/D,LEN
PULTEGROUP INC,PHM
WILLIAMS SONOMA INC,WSM
DARDEN RESTAURANTS INC,DRI
LULULEMON ATHLETICA INC,LULU
NVR INC,NVR
GENUINE PARTS CO,GPC
LAS VEGAS SANDS CORP,LVS
APTIV PLC,APTV
DECKERS OUTDOOR CORP,DECK
RALPH LAUREN CORP,RL
BEST BUY CO INC,BBY
DOMINO S PIZZA INC,DPZ
HASBRO INC,HAS
NORWEGIAN CRUISE LINE HOLDIN,NCLH
WYNN RESORTS LTD,WYNN
POOL CORP,POOL
MGM RESORTS INTERNATIONAL,MGM
