Ticker,Name
CIEN,CIENA CORP
COHR,COHERENT CORP
LITE,LUMENTUM HOLDINGS INC
CW,CURTISS WRIGHT CORP
FLEX,FLEX LTD
CASY,CASEYS GENERAL STORES INC
ILMN,ILLUMINA INC
RGLD,ROYAL GOLD INC
PSTG,PURE STORAGE INC CLASS A
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI
FTI,TECHNIPFMC PLC
RBA,RB GLOBAL INC
UTHR,UNITED THERAPEUTICS CORP
WWD,WOODWARD INC
SGI,SOMNIGROUP INTERNATIONAL INC
HL,HECLA MINING
BURL,BURLINGTON STORES INC
BWXT,BWX TECHNOLOGIES INC
USFD,US FOODS HOLDING CORP
TWLO,TWILIO INC CLASS A
NVT,NVENT ELECTRIC PLC
ENTG,ENTEGRIS INC
FN,FABRINET
XPO,XPO INC
THC,TENET HEALTHCARE CORP
RS,RELIANCE STEEL & ALUMINUM
ATI,ATI INC
CRS,CARPENTER TECHNOLOGY CORP
SATS,ECHOSTAR CORP CLASS A
TLN,TALEN ENERGY CORP
JLL,JONES LANG LASALLE INC
NLY,ANNALY CAPITAL MANAGEMENT REIT INC
AA,ALCOA CORP
CG,CARLYLE GROUP INC
TRU,TRANSUNION
RBC,RBC BEARINGS INC
APG,API GROUP CORP
EWBC,EAST WEST BANCORP INC
WPC,W. P. CAREY REIT INC
ITT,ITT INC
PINS,PINTEREST INC CLASS A
PFGC,PERFORMANCE FOOD GROUP
OKTA,OKTA INC CLASS A
MTZ,MASTEC INC
CSL,CARLISLE COMPANIES INC
MLI,MUELLER INDUSTRIES INC
PNFP,PINNACLE FINANCIAL PARTNERS INC
NXT,NEXTPOWER INC CLASS A
MTSI,MACOM TECHNOLOGY SOLUTIONS INC
EVR,EVERCORE INC CLASS A
MKSI,MKS INC
GGG,GRACO INC
LECO,LINCOLN ELECTRIC HOLDINGS INC
PEN,PENUMBRA INC
CACI,CACI INTERNATIONAL INC CLASS A
TOL,TOLL BROTHERS INC
RPM,RPM INTERNATIONAL INC
DKS,DICKS SPORTING INC
BLD,TOPBUILD CORP
WCC,WESCO INTERNATIONAL INC
NBIX,NEUROCRINE BIOSCIENCES INC
MEDP,MEDPACE HOLDINGS INC
FNF,FIDELITY NATIONAL FINANCIAL INC
OHI,OMEGA HEALTHCARE INVESTORS REIT IN
GWRE,GUIDEWIRE SOFTWARE INC
WSO,WATSCO INC
GLPI,GAMING AND LEISURE PROPERTIES REIT
SF,STIFEL FINANCIAL CORP
TXRH,TEXAS ROADHOUSE INC
CLH,CLEAN HARBORS INC
RGA,REINSURANCE GROUP OF AMERICA INC
ACM,AECOM
RNR,RENAISSANCERE HOLDING LTD
DTM,DT MIDSTREAM INC
ELS,EQUITY LIFESTYLE PROPERTIES REIT I
BJ,BJS WHOLESALE CLUB HOLDINGS INC
ELAN,ELANCO ANIMAL HEALTH INC
CMA,COMERICA INC
ALLY,ALLY FINANCIAL INC
RMBS,RAMBUS INC
FHN,FIRST HORIZON CORP
EXEL,EXELIXIS INC
NTNX,NUTANIX INC CLASS A
DT,DYNATRACE INC
UNM,UNUM
CCK,CROWN HOLDINGS INC
DCI,DONALDSON INC
SCI,SERVICE
LSCC,LATTICE SEMICONDUCTOR CORP
NYT,NEW YORK TIMES CLASS A
LAMR,LAMAR ADVERTISING COMPANY CLAS
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C
EQH,EQUITABLE HOLDINGS INC
DOCU,DOCUSIGN INC
WTRG,ESSENTIAL UTILITIES INC
WMS,ADVANCED DRAINAGE SYSTEMS INC
SNX,TD SYNNEX CORP
SPXC,SPX TECHNOLOGIES INC
CNM,CORE & MAIN INC CLASS A
BMRN,BIOMARIN PHARMACEUTICAL INC
STRL,STERLING INFRASTRUCTURE INC
DY,DYCOM INDUSTRIES INC
ONTO,ONTO INNOVATION INC
FIVE,FIVE BELOW INC
