Date,Open,High,Low,Close
01/09/2026,"4.395%","4.426%","4.373%","4.378%"
01/08/2026,"4.417%","4.444%","4.393%","4.395%"
01/07/2026,"4.487%","4.487%","4.379%","4.417%"
01/06/2026,"4.507%","4.543%","4.465%","4.487%"
01/05/2026,"4.539%","4.543%","4.492%","4.507%"
01/02/2026,"4.478%","4.546%","4.466%","4.539%"
01/01/2026,"4.478%","4.478%","4.478%","4.478%"
12/31/2025,"4.505%","4.505%","4.463%","4.478%"
12/30/2025,"4.489%","4.510%","4.473%","4.505%"
12/29/2025,"4.504%","4.513%","4.471%","4.489%"
12/26/2025,"4.504%","4.504%","4.504%","4.504%"
12/25/2025,"4.504%","4.504%","4.504%","4.504%"
12/24/2025,"4.513%","4.535%","4.492%","4.504%"
12/23/2025,"4.538%","4.538%","4.490%","4.513%"
12/22/2025,"4.530%","4.549%","4.524%","4.538%"
12/19/2025,"4.490%","4.542%","4.490%","4.530%"
12/18/2025,"4.487%","4.540%","4.430%","4.490%"
12/17/2025,"4.523%","4.523%","4.448%","4.487%"
12/16/2025,"4.508%","4.580%","4.496%","4.523%"
12/15/2025,"4.525%","4.525%","4.486%","4.508%"
12/12/2025,"4.492%","4.534%","4.472%","4.525%"
12/11/2025,"4.509%","4.509%","4.455%","4.492%"
12/10/2025,"4.504%","4.570%","4.504%","4.509%"
12/09/2025,"4.528%","4.553%","4.489%","4.504%"
12/08/2025,"4.481%","4.568%","4.481%","4.528%"
12/05/2025,"4.441%","4.488%","4.426%","4.481%"
12/04/2025,"4.451%","4.473%","4.413%","4.441%"
12/03/2025,"4.473%","4.492%","4.426%","4.451%"
12/02/2025,"4.486%","4.516%","4.468%","4.473%"
12/01/2025,"4.447%","4.512%","4.447%","4.486%"
11/28/2025,"4.456%","4.473%","4.428%","4.447%"
11/27/2025,"4.427%","4.490%","4.426%","4.456%"
11/26/2025,"4.499%","4.562%","4.413%","4.427%"
11/25/2025,"4.544%","4.560%","4.481%","4.499%"
11/24/2025,"4.551%","4.564%","4.527%","4.544%"
11/21/2025,"4.589%","4.589%","4.521%","4.551%"
11/20/2025,"4.599%","4.623%","4.575%","4.589%"
11/19/2025,"4.556%","4.627%","4.539%","4.599%"
11/18/2025,"4.537%","4.569%","4.514%","4.556%"
11/17/2025,"4.583%","4.583%","4.534%","4.537%"
11/14/2025,"4.441%","4.588%","4.441%","4.583%"
11/13/2025,"4.403%","4.446%","4.380%","4.441%"
11/12/2025,"4.391%","4.433%","4.391%","4.403%"
11/11/2025,"4.468%","4.468%","4.375%","4.391%"
11/10/2025,"4.470%","4.507%","4.452%","4.468%"
11/07/2025,"4.438%","4.501%","4.438%","4.470%"
11/06/2025,"4.465%","4.479%","4.422%","4.438%"
11/05/2025,"4.429%","4.479%","4.409%","4.465%"
11/04/2025,"4.442%","4.445%","4.371%","4.429%"
11/03/2025,"4.408%","4.455%","4.402%","4.442%"
10/31/2025,"4.432%","4.445%","4.407%","4.408%"
10/30/2025,"4.394%","4.457%","4.394%","4.432%"
10/29/2025,"4.405%","4.409%","4.383%","4.394%"
10/28/2025,"4.405%","4.419%","4.370%","4.405%"
10/27/2025,"4.435%","4.460%","4.400%","4.405%"
10/24/2025,"4.435%","4.447%","4.390%","4.435%"
10/23/2025,"4.415%","4.445%","4.401%","4.435%"
10/22/2025,"4.488%","4.488%","4.369%","4.415%"
10/21/2025,"4.514%","4.521%","4.465%","4.488%"
10/20/2025,"4.537%","4.542%","4.502%","4.514%"
10/17/2025,"4.502%","4.554%","4.459%","4.537%"
10/16/2025,"4.551%","4.559%","4.494%","4.502%"
10/15/2025,"4.589%","4.589%","4.525%","4.551%"
10/14/2025,"4.661%","4.661%","4.571%","4.589%"
10/13/2025,"4.674%","4.698%","4.643%","4.661%"
10/10/2025,"4.749%","4.749%","4.658%","4.674%"
10/09/2025,"4.721%","4.759%","4.707%","4.749%"
10/08/2025,"4.726%","4.727%","4.699%","4.721%"
10/07/2025,"4.741%","4.767%","4.719%","4.726%"
10/06/2025,"4.695%","4.761%","4.695%","4.741%"
10/03/2025,"4.714%","4.714%","4.681%","4.695%"
10/02/2025,"4.695%","4.748%","4.691%","4.714%"
10/01/2025,"4.700%","4.745%","4.676%","4.695%"
09/30/2025,"4.705%","4.725%","4.693%","4.700%"
09/29/2025,"4.757%","4.757%","4.695%","4.705%"
09/26/2025,"4.759%","4.772%","4.714%","4.757%"
09/25/2025,"4.676%","4.776%","4.671%","4.759%"
09/24/2025,"4.683%","4.697%","4.655%","4.676%"
09/23/2025,"4.717%","4.717%","4.666%","4.683%"
09/22/2025,"4.717%","4.730%","4.692%","4.717%"
09/19/2025,"4.680%","4.728%","4.680%","4.717%"
09/18/2025,"4.629%","4.690%","4.610%","4.680%"
09/17/2025,"4.644%","4.644%","4.608%","4.629%"
09/16/2025,"4.635%","4.674%","4.627%","4.644%"
09/15/2025,"4.676%","4.680%","4.628%","4.635%"
09/12/2025,"4.610%","4.679%","4.596%","4.676%"
09/11/2025,"4.633%","4.648%","4.591%","4.610%"
09/10/2025,"4.625%","4.652%","4.606%","4.633%"
09/09/2025,"4.609%","4.645%","4.594%","4.625%"
09/08/2025,"4.654%","4.670%","4.603%","4.609%"
09/05/2025,"4.725%","4.725%","4.641%","4.654%"
09/04/2025,"4.749%","4.755%","4.709%","4.725%"
09/03/2025,"4.809%","4.859%","4.735%","4.749%"
09/02/2025,"4.754%","4.833%","4.754%","4.809%"
09/01/2025,"4.724%","4.769%","4.724%","4.754%"
08/29/2025,"4.702%","4.743%","4.701%","4.724%"
08/28/2025,"4.739%","4.739%","4.691%","4.702%"
08/27/2025,"4.745%","4.765%","4.710%","4.739%"
08/26/2025,"4.697%","4.775%","4.697%","4.745%"
08/24/2025,"4.697%","4.697%","4.697%","4.697%"
08/22/2025,"4.732%","4.773%","4.684%","4.697%"
08/21/2025,"4.673%","4.750%","4.673%","4.732%"
08/20/2025,"4.746%","4.754%","4.672%","4.673%"
08/19/2025,"4.742%","4.766%","4.716%","4.746%"
08/18/2025,"4.700%","4.764%","4.658%","4.742%"
08/15/2025,"4.647%","4.708%","4.635%","4.700%"
08/14/2025,"4.595%","4.651%","4.571%","4.647%"
08/13/2025,"4.629%","4.629%","4.581%","4.595%"
08/12/2025,"4.568%","4.647%","4.568%","4.629%"
08/11/2025,"4.604%","4.604%","4.548%","4.568%"
08/08/2025,"4.550%","4.612%","4.550%","4.604%"
08/07/2025,"4.533%","4.596%","4.513%","4.550%"
08/06/2025,"4.522%","4.579%","4.502%","4.533%"
08/05/2025,"4.510%","4.544%","4.494%","4.522%"
08/04/2025,"4.530%","4.564%","4.495%","4.510%"
08/01/2025,"4.573%","4.652%","4.503%","4.530%"
07/31/2025,"4.608%","4.608%","4.555%","4.573%"
07/30/2025,"4.638%","4.638%","4.574%","4.608%"
07/29/2025,"4.655%","4.692%","4.606%","4.638%"
07/28/2025,"4.632%","4.664%","4.601%","4.655%"
07/25/2025,"4.625%","4.671%","4.625%","4.632%"
07/24/2025,"4.648%","4.679%","4.612%","4.625%"
07/23/2025,"4.575%","4.649%","4.575%","4.648%"
07/22/2025,"4.606%","4.652%","4.562%","4.575%"
07/21/2025,"4.679%","4.679%","4.598%","4.606%"
