,ig_oas_pct,hy_oas_pct,nfci,fed_assets_musd,tga_musd,on_rrp_musd,reserves_musd,m2_busd,gdp_busd_saar,ecb_assets_meur,boj_assets_100m_yen,net_liquidity_musd,m2_gdp_ratio,d_netliq_1w,d_netliq_4w,d_netliq_13w,d_reserves_1w,d_reserves_4w,d_reserves_13w,d_fed_assets_1w,d_fed_assets_4w,d_fed_assets_13w,d_tga_1w,d_tga_4w,d_tga_13w,d_rrp_1w,d_rrp_4w,d_rrp_13w,d_ecb_assets_1w,d_ecb_assets_4w,d_ecb_assets_13w,d_boj_assets_1w,d_boj_assets_4w,d_boj_assets_13w,d_ig_oas_1w,d_ig_oas_4w,d_ig_oas_13w,d_hy_oas_1w,d_hy_oas_4w,d_hy_oas_13w,d_nfci_1w,d_nfci_4w,d_nfci_13w,d_m2gdp_1w,d_m2gdp_4w,d_m2gdp_13w,z_netliq_4w,z_reserves_4w,z_global_cb_4w,z_m2_gdp,z_hy_oas,z_ig_oas,z_nfci,LiquidityScore,LiquidityImpulse_4w,LiquidityImpulse_13w
2023-01-04,1.4,4.62,,8507429.0,423625.0,2229542.0,2830144.0,21205.3,27216.445,,7337761.0,5854262.0,0.7791355557274288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11,1.34,4.3,-0.2456,8508587.0,372340.0,2199170.0,3081237.0,21205.3,27216.445,7968035.0,7337761.0,5937077.0,0.7791355557274288,82815.0,,,251093.0,,,1158.0,,,-51285.0,,,-30372.0,,,,,,0.0,,,-0.05999999999999983,,,-0.3200000000000003,,,,,,0.0,,,,,,,,,,,,
2023-01-18,1.29,4.25,-0.27006,8489039.0,339018.0,2131678.0,3147332.0,21205.3,27216.445,7972052.0,7337761.0,6018343.0,0.7791355557274288,81266.0,,,66095.0,,,-19548.0,,,-33322.0,,,-67492.0,,,4017.0,,,0.0,,,-0.050000000000000044,,,-0.04999999999999982,,,-0.02446000000000001,,,0.0,,,,,,,,,,,,
2023-01-25,1.28,4.35,-0.29095,8470557.0,491848.0,2031561.0,3031889.0,21205.3,27216.445,7959180.0,7337761.0,5947148.0,0.7791355557274288,-71195.0,,,-115443.0,,,-18482.0,,,152830.0,,,-100117.0,,,-12872.0,,,0.0,,,-0.010000000000000009,,,0.09999999999999964,,,-0.020889999999999964,,,0.0,,,,,,,,,,,,
2023-02-01,1.25,4.31,-0.3077,8433610.0,560089.0,2038262.0,3015506.0,21184.5,27216.445,7893991.0,7395800.0,5835259.0,0.7783713119035202,-111889.0,-19003.0,,-16383.0,185362.0,,-36947.0,-73819.0,,68241.0,136464.0,,6701.0,-191280.0,,-65189.0,,,58039.0,58039.0,,-0.030000000000000027,-0.1499999999999999,,-0.040000000000000036,-0.3100000000000005,,-0.016749999999999987,,,-0.0007642438239086058,-0.0007642438239086058,,,,,,,,,,,
2023-02-08,1.2,4.07,-0.31502,8435369.0,493277.0,2059603.9999999998,3037584.0,21184.5,27216.445,7875365.0,7395800.0,5882488.0,0.7783713119035202,47229.0,-54589.0,,22078.0,-43653.0,,1759.0,-73218.0,,-66812.0,120937.0,,21341.999999999767,-139566.00000000023,,-18626.0,-92670.0,,0.0,58039.0,,-0.050000000000000044,-0.14000000000000012,,-0.23999999999999932,-0.22999999999999954,,-0.007320000000000049,-0.06942000000000001,,0.0,-0.0007642438239086058,,,,,,,,,,,
2023-02-15,1.23,4.18,-0.31116,8384767.0,490379.0,2011998.0,3041038.0,21184.5,27216.445,7872208.0,7395800.0,5882390.0,0.7783713119035202,-98.0,-135953.0,,3454.0,-106294.0,,-50602.0,-104272.0,,-2898.0,151361.0,,-47605.99999999977,-119680.0,,-3157.0,-99844.0,,0.0,58039.0,,0.030000000000000027,-0.06000000000000005,,0.10999999999999943,-0.07000000000000028,,0.00386000000000003,-0.04109999999999997,,0.0,-0.0007642438239086058,,,,,,,,,,,
2023-02-22,1.28,4.41,-0.29663,8382190.0,477333.0,2113849.0,3016577.0,21184.5,27216.445,7873582.0,7395800.0,5791008.0,0.7783713119035202,-91382.0,-156140.0,,-24461.0,-15312.0,,-2577.0,-88367.0,,-13046.0,-14515.0,,101851.0,82288.0,,1374.0,-85598.0,,0.0,58039.0,,0.050000000000000044,0.0,,0.23000000000000043,0.0600000000000005,,0.014529999999999987,-0.005680000000000018,,0.0,-0.0007642438239086058,,,,,,,,,,,
2023-03-01,1.29,4.17,-0.27121,8339684.0,381245.0,2133950.0,2998303.0,20876.1,27216.445,7839385.0,7351165.0,5824489.0,0.7670399275144126,33481.0,-10770.0,,-18274.0,-17203.0,,-42506.0,-93926.0,,-96088.0,-178844.0,,20101.0,95688.0,,-34197.0,-54606.0,,-44635.0,-44635.0,,0.010000000000000009,0.040000000000000036,,-0.2400000000000002,-0.13999999999999968,,0.025419999999999998,0.03648999999999997,,-0.011331384389107524,-0.011331384389107524,,,,,,,,,,,
2023-03-08,1.27,4.09,-0.24029,8342283.0,333350.0,2193237.0,2999720.0,20876.1,27216.445,7830796.0,7351165.0,5815696.0,0.7670399275144126,-8793.0,-66792.0,,1417.0,-37864.0,,2599.0,-93086.0,,-47895.0,-159927.0,,59287.0,133633.00000000023,,-8589.0,-44569.0,,0.0,-44635.0,,-0.020000000000000018,0.07000000000000006,,-0.08000000000000007,0.019999999999999574,,0.030920000000000003,0.07473000000000002,,0.0,-0.011331384389107524,,,,,,,,,,,
